YEAR,STATE,SH_ID,SH_NAME,ORG_COUNT,SH_ZIP,SH_TYPE,Beg_Ct_D,Intake_Pub_Total_D,Intake_In_Comm_Total_D,Intake_Out_Comm_Total_D,Intake_ORE_Total_D,Total_Intake_D,ORE_Intake_UU_D,Total_Intake_Adj_D,Total_Adoptions_D,Transfer_In_Comm_Total_D,Transfer_Out_Comm_Total_D,RTO_D,Return_Habitat_D,Total_Euth_D,ORE_Euth_UU_D,Total_Euth_Adj_D,Sub_Outcomes_D,Died_Lost_D,Total_Outcomes_D,End_Count_D,Begin_Count_C,Intake_Pub_Total_C,Intake_In_Comm_Total_C,Intake_Out_Comm_Total_C,Intake_ORE_Total_C,Total_Intake_C,ORE_Intake_UU_C,Total_Intake_Adj_C,Total_Adoptions_C,Transfer_In_Comm_Total_C,Transfer_Out_Comm_Total_C,RTO_C,Return_Habitat_C,Total_Euth_C,ORE_Euth_UU_C,Total_Euth_Adj_C,Sub_Outcomes_C,Died_Lost_C,Total_Outcomes_C,End_Count_C
2010,IL,F,Felines,1,60640,AG,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,135,47,0,191,0,238,0,238,367,0,0,2,,13,0,13,382,0,382,111
2010,IL,TRHHS,Tree House Humane Society,1,60640,AG,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,238,578,22,5,0,605,0,605,538,0,0,16,,42,0,42,596,32,628,215
2010,IL,PAWSC,PAWS Chicago,1,60640,AG,135,442,1461,57,0,1960,0,1960,1967,0,0,0,,32,0,32,1999,3,2002,93,185,627,1342,155,0,2124,0,2124,2075,0,0,0,,90,0,90,2165,47,2212,97
2010,IL,AWL,Animal Welfare League,1,60640,TS,648,6431,83,224,1011,7749,1011,6738,3153,0,264,1072,,2844,810,2034,6523,784,7307,280,722,7871,87,114,631,8703,631,8072,2243,0,17,110,,4434,514,3920,6290,1884,8174,737
2010,IL,ACS,Anti Cruelty Society,1,60640,TS,112,1728,316,534,1103,3681,1103,2578,1598,31,493,34,,1669,1103,566,2722,11,2733,103,332,4119,64,39,1132,5354,1132,4222,2777,16,190,31,,2451,1132,1319,4333,46,4379,406
2010,IL,CACC,Chicago Animal Care and Control,1,60640,AC,441,9381,0,3,131,9515,131,9384,916,1266,1559,1349,,3785,131,3654,8744,753,9497,260,391,8989,0,16,88,9093,88,9005,436,1018,1283,139,,4465,88,4377,7253,1247,8500,509
2010,IN,ACSPCA,Allen County SPCA,1,46806,AG,10,165,28,14,0,207,0,207,194,0,2,8,0,1,0,1,205,0,205,12,32,272,16,12,0,300,0,300,229,0,5,5,0,39,0,39,278,8,286,46
2010,IN,FWACC,Fort Wayne Animal Care and Control,1,46808,AC,86,5325,0,0,314,5639,314,5325,917,28,262,1684,0,2665,314,2351,5242,91,5333,78,114,7975,0,0,252,8227,252,7975,780,16,72,167,0,7077,252,6825,7860,126,7986,105
2010,IN,HSIN,Humane Society of Indianapolis,1,46268,AG,184,1453,515,457,267,2692,267,2425,1679,45,55,101,0,785,267,518,2398,21,2419,190,138,1209,715,46,118,2088,118,1970,1377,115,13,24,0,442,118,324,1853,29,1882,209
2010,KS,PCCHHS,Pottawatomie County Caring Hearts Humane Society,1,66549,AG,9,67,55,23,0,145,0,145,117,0,2,28,0,0,0,0,147,1,148,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,KS,SHD,Safe Harbor Dogs,1,66012,AG,63,42,41,175,0,258,0,258,258,0,0,0,0,3,0,3,261,0,261,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,KS,KCAR,KC Angel Rescue,1,61446,AG,12,9,11,24,0,44,0,44,20,5,18,0,0,2,0,2,45,0,45,11,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0
